text,annotator1,label
sao ad không di chuyển gì vậy,0,0
nó đang đẩy,0,0
cái đi biến về hết vậy,0,0
gặp phải cái team ngu dốt vcl,1,1
gặp phải cái team ngu dốt vãi cả lồn,1,1
làm cc gì cứ bắt sp vậy,1,1
làm con cặc gì cứ bắt sp vậy,1,1
gank ít thôi,0,0
top sao thế,0,0
đánh đi ông,0,0
mid nó lên máu nên trâu lắm,0,0
đánh thằng ấy,0,0
top nó đánh kinh quá,0,0
con chó này,1,1
vl,1,1
vãi lồn,1,1
nói thế thì chịu rồi,0,0
lên ít kháng phép đi top ơi,0,0
bắt tao,0,0
ad bắn yếu quá,0,0
late,0,0
ăn con cặc tao,1,1
đánh thì dở chết thì nhanh xong sủa dơ,1,1
óc gáy,1,1
thấy mấy thằng đồng đội như lồn không,1,1
tuổi lồn,1,1
top ngu thế,1,1
pick còn thua,0,0
ngu học thật,1,1
ăn đi,0,0
đen thế,0,0
ad xuyên giáp,0,0
kháng phép của mày đâu,0,0
t def mid,0,0
con quái vật,0,0
đánh mấy thằng khác trước,0,0
all top về,0,0
đẩy lẻ top đi,0,0
con mẹ,1,1
làm cc gì vậy,1,1
làm con cặc gì vậy,1,1
dốt thật,1,1
rồng 4,0,0
4 con hóa kỹ,0,0
tới ông nội nó còn mạnh,0,0
dm 2 thằng ngu,1,1
địt mẹ 2 thằng ngu,1,1
gà vc ra,1,1
gà vãi cặc ra,1,1
dm,1,1
địt mẹ,1,1
sát bên hụt,0,0
càng đánh càng ngu,1,1
mẹ ad gà,1,1
rồi mày hay chưa,0,0
sủa cl,1,1
sủa cái lồn,1,1
xin blue cái,0,0
mẹ ad ngu,1,1
tiếc chiêu,0,0
ẳng c l,1,1
ẳng cái lồn,1,1
d mm ngu vừa thôi,1,1
địt mẹ mày ngu vừa thôi,1,1
tiếc con gái mẹ m hả,1,1
sủa con đĩ mẹ mày,1,1
cút,1,1
chạy à,0,0
mắc cái lồn gì ff,1,1
mắc cái lồn gì ff,1,1
đừng gg,0,0
tao bấm nhầm,0,0
thằng lồn nào cứ bấm gg thế,1,1
ko biết ping à,0,0
ở nhà lên,0,0
từ từ,0,0
trời ơi,0,0
R 2 mà,0,0
umk,0,0
gấp quá,0,0
lag quá,0,0
fps 50,0,0
không là ăn 3 chết 0 đó,0,0
mẹ nó,1,1
rồi sao,0,0
không lên cái vô danh,0,0
mid blue,0,0
đút sâu qua sao rút không kịp,0,0
cho nó cướp cũng được,0,0
quăng game,0,0
rank này là vậy mà,0,0
ping không về kêu quăng,0,0
rừng nó xanh là mình afk thôi sp,0,0
vcc,1,1
vãi con cặc,1,1
vẫn tới,0,0
d m,1,1
đụ má,1,1
biết chơi không,0,0
mày đánh zed,0,0
ping lắm thế,0,0
lên đồ vcl,1,1
lên đồ vãi cả lồn,1,1
lên đồ ngu vcl,1,1
lên đồ ngu vãi cả lồn,1,1
thua đường là phải,0,0
team thì ngon,0,0
mà đánh kém vcl,1,1
mà đánh kém vãi cả lồn,1,1
gank cho như thế rồi,0,0
lên đồ sai,0,0
thua đường,0,0
mà gặp cái team,0,0
ngu vcl,1,1
ngu vãi cả lồn,1,1
đánh cả ngày chán tay vậy,0,0
ff thôi,0,0
chứ ngu vậy,1,1
không ai gank nổi đâu,0,0
d m gank cho mid mạng,1,1
đụ má gank cho mid mạng,1,1
vẫn thua game,0,0
d m xanh mà chỉ biết ở mid,1,1
đụ má xanh mà chỉ biết ở mid,1,1
ko biết đi thì cũng vứt,0,0
nó né vl vậy,1,1
nó né vãi lồn vậy,1,1
thì do kĩ năng thôi,0,0
đánh đi,0,0
câm mồm vào,1,1
ff đê,0,0
đánh cc,1,1
đánh con cặc,1,1
dme lại à,1,1
địt mẹ lại à,1,1
vc,1,1
vãi cặc,1,1
mất hết rồi,0,0
mới đi tè xong,0,0
ad,0,0
t choáng là có mạng,0,0
mấy con chó này gank cc,1,1
mấy con chó này gank con cặc,1,1
má,1,1
chưa tắt,0,0
đóng băng lính,0,0
bot thì win xuống làm gì,0,0
top nó mất hết rồi,0,0
gank cc bố này lên đây,1,1
gank con cặc bố này lên đây,1,1
dc m đéo có dame,1,1
địt con mẹ đéo có dame,1,1
má nó gà quá,1,1
lên hết đây nào thiếu thằng ad chưa lên,0,0
pick đầu hành bố mày mà ngu thế hả con sp 1 lần jung 6 lần mid 1 lần ganh,1,1
thằng óc chó nó ngu thôi nó biết phản ganh 2 quả thì chúng mày bố cân 3,1,1
bảo rồi không sợ kẻ thù mạnh chỉ sợ đồng đội ngu,1,1
đồng đội hay vc l,1,1
đồng đội hay vãi cả lồn,1,1
cứ chửi đồng đội thì làm sao win đc,0,0
địt con mẹ,1,1
dc m ăn kéo luôn đc,1,1
địt con mẹ ăn kéo luôn đc,1,1
ganh tao à con,0,0
sp nó kéo khét đó,0,0
đánh từ từ thôi,0,0
có tốc biến rồi nè,0,0
thằng mid mạnh hơn,0,0
bắt lẻ được thôi,0,0
4 14 nó vẫn không hết ngu,1,1
không win được đâu,0,0
mẹ để nó lên tao ăn nó luôn đánh làm gì,1,1
tao đợi nó lên ăn blue cướp luôn,0,0
lồn mẹ không chết,1,1
lấy top rồi ăn,0,0
ngon cơm,0,0
tự nhiên ngon cơm đẩy bot rồi all,0,0
súc sinh đi rừng ngu,1,1
tao hỏi thật lúc mang bầu mày con mẹ mày ăn nhầm phải cứt à,1,1
con chó ngu này,1,1
đấy thấy chưa,0,0
không đẩy khó đánh,0,0
mày đừng nhắn tin nữa,0,0
đánh có được lồn,0,1
biết đánh ad không ba,0,0
mày chat để nó cấu máu,0,0
mày nghĩ tao không biết chơi à,0,0
đánh thì đánh mẹ đi cứ đổ lỗi,1,1
pick sau,0,0
mà feed tích cực vc,1,1
mà feed tích cực vãi cặc,1,1
ác,0,0
lên tank tao bế đi được,0,0
rồi sao team m chịu được,0,0
kéo chuẩn tí,0,0
lên trái tim nhé,0,0
cho nhiều máu,0,0
chơi mà sợ ông nội,0,0
cầm kèo,0,0
pick cuối ngu vl,1,1
pick cuối ngu vãi lồn,1,1
ngu người,1,1
5 1,0,0
ăn cứt rồi,1,1
duma rừng,1,1
như loz,1,1
duma top,1,1
mày để nó farm thế kia à,0,0
không def được,0,0
không def được nên đi thui,0,0
nó lag rồi,0,0
đánh kiểu gì vậy,0,0
không thấy tao ping à,0,0
giảm hồi máu đi,0,0
lao vào chi vậy,0,0
tao bắn xa mà,0,0
không để ý,0,0
tao hết tiền rồi,0,0
afk đây,0,0
mua máy về mà chơi,0,0
đánh tập trung cố win trận,0,0
thua sáng giờ,0,0
để ad,0,0
không thích,0,0
không biết chơi,0,0
đừng có pick,0,0
ping đi tới,0,0
xong lui,0,0
xong quay lại ăn hơn,0,0
là sao ba,0,0
rồi đổ lỗi nó,0,0
thằng mid,0,0
nó đần,1,1
ad nhát vkl,1,1
ad nhát vãi cả lồn,1,1
ngu vl,1,1
ngu vãi lồn,1,1
gank 3 lần chết mà vẫn ra,1,0
rừng ngu ác,1,1
buồn cười vl,1,1
buồn cười vãi lồn,1,1
còn đéo chùy đi,1,1
để ad cấu rỉa trước,0,0
sao không choáng,0,0
đánh luôn,0,0
lính nó thế,0,0
đánh sao,0,0
do ngu,1,1
không giết nó chết thua với mày,0,0
óc bò,1,1
thằng ngu,1,1
loại mày ý,0,0
ngu lắm e à,1,1
sp nó thế,0,0
mà đánh hòa với nó,0,0
này thì lính này,0,0
farm hòa này,0,0
óc chó,1,1
gặp 2 con này đi chung,0,0
mà muốn farm hòa,0,0
thì chỉ có gg,0,0
đánh được đâu mà xù lông,0,0
giờ bỏ cũng được,0,0
ăn rồng sau,0,0
đéo hiểu tự tin ở đâu,1,1
đánh ngu nói cái tự ái afk rẻ rách vl,1,1
đánh ngu nói cái tự ái afk rẻ rách vãi lồn,1,1
hèn vcl,1,1
hèn vãi cả lồn,1,1
tí level 2 đánh nó luôn nhé ad,0,0
tí kệ con mẹ thằng,1,1
tí kệ con mẹ thằng,1,1
level 2 đánh ad nó luôn,0,0
mày về hồi máu,0,0
tao làm chậm. Ad nó để không bao giờ chạy đc luôn,0,0
cố lên anh em,0,0
top cẩn thận lại ông,0,0
tao làm chậm có chạy được cái lồn,1,0
top ngu vl,1,1
top ngu vãi lồn,1,1
đau thế,0,0
nó có 1 đồ,0,0
hết mà là đánh rồi binh đánh cc,1,1
hết mà là đánh rồi binh đánh con cặc,1,1
mày 2 đồ,0,0
về mua đồ rồi lên,0,0
all mid nhỉ,0,0
sp thấy tôi bắn thằng ad nó quá khét không,0,0
chấp tốc biến bay vào bụi,0,0
đang gọi cứu hỏa rồi,0,0
cháy quá,0,0
mất tầm nhìn luôn,0,0
vl,1,1
vãi lồn,1,1
đánh ông đứng nhìn,0,0
chưa gì ra rồi ba,0,0
ảo thật đấy,0,0
để nó lên tí nữa,0,0
nó đang đẩy lên,0,0
wave lính to quá,0,0
không đánh nhanh nó ép trụ,0,0
d m chúng no chèn ép bot vkl,1,1
đụ má chúng nó chèn ép bot vãi cả lồn,1,1
cái khiên đen nó counter quá,0,0
rồng kìa,0,0
nice xừ,0,0
oke bạn yêu,0,0
ổn không ad,0,0
tôi ổn,0,0
không ổn nhớ nói để ta lại gần nhau hơn,0,0
3 rồng rồi,0,0
đi rừng kiểu bị não cứt,1,1
out lane như thế,0,0
không ăn được 1 con rồng,0,0
sủa lồn má mày,1,1
tao cho thua luôn đi,0,0
súc vật,1,1
súc vật,1,1
ba má mày,1,0
chứ không phải là,0,0
hiểu chưa,0,0
hành động với suy nghĩ của nó ngu quá bạn à,1,1
nên phải,0,0
cc gì,1,1
con cặc gì,1,1
ngồi xe lăn farm lính à,0,0
địt mẹ level 13,1,1
đụ má level 13,1,1
2 con chó đánh bố,1,1
team nó khỏe hay không phụ thuộc vào mình,0,0
khỏe chứ,0,0
thằng lồn,0,1
bạn cứ không tin tôi,0,0
mày đâu ra lên đây,0,0
tao tin mày mà,0,0
đã dame to còn làm chậm,0,0
hay vcl anh ơi,1,1
hay vãi cả lồn anh ơi,1,1
sml,1,1
sấp mặt lồn,1,1
sao mày ăn blue,0,0
con chó,1,1
chưa đủ người đã đánh,0,0
top mình yếu quá,0,0
top test tướng à,0,0
đi với urgot mà lên cái đấy à,0,0
rồi bắt tao chết 5 thằng,0,0
con mẹ bị ngu à,1,1
con mẹ bị ngu à,1,1
mid tao bảo mày tuổi lồn,1,1
nó bảo mày bú cu nó không xong,1,1
hiểu nhầm đấy,0,0
nó afk rồi,0,0
remake thôi,0,0
bỏ rồi,0,0
giúp đi tao ra lane luôn,0,0
cắm mắt,0,0
wtf,1,1
ok,0,0
thôi đánh con đó tấu hài quá,0,0
cấp 2 húp tụi nó luôn,0,0
2 lần 4 mạng,0,0
dmm,1,1
địt mẹ mày,1,1
đụ má,1,1
sao không ra vậy bot,0,0
thế lính đang đẩy mà,0,0
qua đó không ra được,0,0
sao lại thua được,0,0
vì nó có 12 xác,0,0
lên vô danh đó,0,0
đi lên ngay đồ đầu,0,0
bảo sao thua,0,0
xin lỗi top nha,0,0
tao sợ mày chết,0,0
ừ,0,0
không sao,0,0
sao không đánh ad nó,0,0
choáng sp làm gì,0,0
gì mà chiến vậy,0,0
hừm,0,0
ủa,0,0
sao chết vậy,0,0
giết sp nó trước,0,0
nó thì bắn tao,0,0
mày cứ giết sp nó làm gì,0,0
vãi cặc lồn,1,1
sp ơi,0,0
thôi,0,0
im,0,0
vãi cả lồn,1,1
đánh ad nó ý,0,0
im,0,0
ad lần sau,0,0
tập chơi,0,0
vl im,1,1
vãi lồn im,1,1
né kill trước,0,0
nhé,0,0
đùa,0,0
ping như thế nào rồi,0,0
ping đéo gì,1,1
đánh ngáo vãi lồn,1,1
ừ,0,0
mute,0,0
rồi kêu ping thế rồi,0,0
tự chơi,0,0
gg,0,0
hết,0,0
mẹ nó ngu,1,1
lần sau,0,0
đừng chơi ad hay,0,0
kẹt team lắm,0,0
tao thích chơi cặc đéo gì kệ mẹ tao,1,1
ra mid đi,0,0
bảo nó afk đi,0,0
thần ad,0,0
mẹ,1,0
chúng mày thấy,1,0
con mẹ thấy,1,1
thằng ad,0,0
nó chơi,0,0
đéo mẹ cái tác dụng gì,1,1
mang chinh phục mà lên đồ vậy,0,0
di chuyển max đần,1,1
nốt đồ,0,0
kiểm soát đi rừng,0,0
dm,1,1
đụ má,1,1
địt mẹ,1,1
cover tao,0,0
là win,0,0
def,0,0
đen vậy,0,0
vào rừng mà farm mẹ,1,0
vào làm gì,0,0
hay quá ad ơi,0,0
mày thi có tác dụng lồn gì mà ping,1,1
ngoài feed ra,0,0
mid ơi,0,0
đứng sau cover tao,0,0
làm chậm nó thôi,0,0
chạy chậm thôi,0,0
chơi game cái loại mày,0,0
gg,0,0
bai,0,0
dạng lồn thì câm mõm,1,1
gg,0,0
sao lại cấm,0,0
tại sao,0,0
sp con khác,0,0
vãi cả cặc,1,1
vãi con cặc,1,1
sao không về,0,0
quay lại làm gì,0,0
đánh gank bot nhiều vào,0,0
10 máu,0,0
để con chuột nó cướp rồng thì chịu rồi,0,0
đi rừng ngu như chó,1,1
thế cũng mất rồng,0,0
ai lại nói thế,0,0
nghe tự ái vcl,1,1
nghe tự ái vãi cả lồn,1,1
đẩy bot đi,0,0
ra mid làm cc gì,1,1
ra mid làm con cặc gì,1,1
chỉ 1 đổi 1 thôi à,0,0
lần sau bỏ con dùm tao cái,0,0
hay đấy,0,0
đợi đấy,0,0
ghê,0,0
bố mày sợ,0,0
sợ quá,0,0
ăn cc gì mà ngu vcl,1,1
ăn con cặc gì mà ngu vãi cả lồn,1,1
khóc,0,0
khóc hu hu,0,0
khóc,0,0
vì mày ẳng,1,1
khóc thay,0,0
khóc,0,0
ad vào sau mà không hành được à,0,0
lịch sử đấu 20 game thắng,0,0
khóc vì mày không gank được team,0,0
ngu lắm,1,1
mày ngu bỏ mẹ ra,1,1
đừng tỏ vẻ nguy hiểm,0,0
rừng đéo có con rồng ngu,1,1
được đấy,0,0
khóc thay nhé,0,0
đủ combo,0,0
thấy gì không,0,0
tao bắt lẻ mày giờ,0,0
ok,0,0
buồn của mid,0,0
tao thế,0,0
ngu,1,1
đừng,0,0
đánh,0,0
pls,0,0
mù à,1,1
thằng ngu,1,1
óc lồn,1,1
đã ping không có chiêu cuối,0,0
thằng óc cặc,1,1
dạng cái háng to vào,0,0
đi còn bóp,0,0
nè,0,0
bú,0,0
dmm mid,1,1
đụ má mày mid,1,1
ngu như thú,1,1
rồi,0,0
sốc được 2 3 con tuỏng mình mạnh là xong rồi,0,0
ngu,1,1
chậm thôi,0,0
sao không đánh sp luôn,0,0
nó còn xíu máu à,0,0
đánh tay,0,0
được bao nhiêu dame đâu,0,0
né vậy sao chơi,0,0
rồng ra,0,0
đéo giúp được gì,1,1
mày ngu bỏ mẹ ra,1,1
bảo nó né cc,1,1
bảo nó né con cặc,1,1
cầm,0,0
thua đường,0,0
vcl,1,1
vãi cả lồn,1,1
đánh thì ngu,1,1
mày không biết viết tiếng việt à,0,0
haha,0,0
tội nghiệp,0,0
học lớp mấy rồi,0,0
có mấy chữ tiếng việt cũng không viết được,0,0
tiếp,0,0
từ hãy về,0,0
ok nhé,0,0
yêu,0,0
top chậm thôi,0,0
trả giá,0,0
rồng đi,0,0
làm cái gì vậy,0,0
tao sợ mày lắm,0,0
sao không ăn,0,0
làm cái gì đấy,0,0
rồng,0,0
rồng đi,0,0
2 người kia đẩy được rồi,0,0
2 người đẩy đi,0,0
đã ping rồi,0,0
không 1 tác dụng gì,0,0
ngồi sủa,1,1
đã ngu,1,1
out trình mid,0,0
thì câm cái mồm vào,1,1
súc vật,1,1
đi top nát mẹ game,1,1
ad mình bắn đéo có dame,1,1
con ngộ không nó đấm vào mồm thì bắn gì,0,0
đẩy cao lên thằng top ngu,1,1
làm hết,0,0
ngu,1,1
1010 sp 12 10 ad,0,0
đâu,0,0
vlon,1,1
vãi lồn,1,1
giảm hút máu nữa đi,0,0
vcl,1,1
vãi cả lồn,1,1
cả team,0,0
dm,1,1
đụ má,1,1
địt mẹ,1,1
thằng ad mày không lên đồ thần thoại à,0,0
dm,1,1
đụ má,1,1
dame đâu mày bắn chúng nó,0,0
giảm hồi máu đéo lên,1,1
giảm hồi máu đéo lên,1,1
giảm hồi máu không lên,0,0
xin nhẹ game,0,0
mid mang dịch chuyển,0,0
3 mạng đầu mà không đánh được à,0,0
đáng lẽ tao không được chơi game ấy chứ,0,0
team bên cóp máy,0,0
tí thì out,0,0
d m,1,1
đụ má,1,1
team nhiều phép nhỉ,0,0
tao đánh nữa là đẹp,0,0
vl sao cắm đấy,1,1
vãi lồn sao cắm đấy,1,1
ping cái gì,0,0
nó đi vòng cướp mình thì sao,0,0
bị nhiều rồi,0,0
ok tư duy dốt,1,1
đi từ mid ra,0,0
mới an toàn đấy,0,0
do mày đi sai đường,0,0
sai,0,0
đi từ mid lộ,0,0
mày đi cùng bọn tao,0,0
bánh mì kẹp thịt,0,0
thôi đánh đi,0,0
tập trung,0,0
kẹp,0,0
vãi cả,0,1
mất thời gian,0,0
nó chạy đi đâu,0,0
đáng ra mày đuổi con sp ấy,0,0
đánh đi không sao,0,0
đúng rồi,0,0
tao chủ quan rồi,0,0
cần gì,0,0
mid ơi,0,0
mắt mũi chán nhỉ,0,0
ai làm gì,0,0
lai còn ai làm gì,0,0
ăn cua trên được rồi,0,0
thôi đc rồi đánh đi,0,0
còn xuống dưới đánh,0,0
quả đấy mày E nó là nó chết rồi,0,0
trong khi từng nguyên cánh trên còn hết,0,0
sao quả nó flash lại chạy được,0,0
vcl,1,1
vãi cả lồn,1,1
cái gì thế,0,0
ông tank đi,0,0
tao lên tank,0,0
không hành nó được,0,0
về,0,0
vl,1,1
vãi lồn,1,1
trúng,0,0
là nó chết mẹ rồi,1,1
sao không,0,0
đi ra cho tao,0,0
mà đi ra đấy,0,0
húc,0,0
luôn,0,0
cũng được chứ sao,0,0
hút chậm,0,0
lúc rồi,0,0
ừ,0,0
ping ra rồi vẫn đéo biết húc nó,1,1
biết nói làm gì,0,0
lần nào cũng nói vậy,0,0
ad ngáo thế,0,1
trụ gần rừng,0,0
còn ra,0,0
ăn 2 mạng,0,0
xanh lại,0,0
shutdown,0,0
xanh quá,0,0
nãy nó thua 50,0,0
giờ bằng,0,0
vcl,1,1
vãi cả lồn,1,1
thế là thua,0,0
đánh con này này,0,0
có thấy đâu mà đánh,0,0
đéo ai lên ,1,1
giảm máu,0,0
lên,0,0
đừng để bị bắt lẻ,0,0
bắt mid nó,0,0
rồng kìa,0,0
đừng cho nó về,0,0
nhà nó nát,0,0
đừng đánh,0,0
dm,1,1
đụ má,1,1
địt mẹ,1,1
nó rồi cái tao chết rồi còn vị trí gì,0,0
may mà lane nào cũng vậy,0,0
thằng mid nó tốc biến rồi,0,0
về,0,0
win,0,0
bắt,0,0
về,0,0
kéo đánh luôn,0,0
lồn ad,1,1
ping đánh cứ ngơ ngơ,0,0
tham quá,0,0
lồn,1,1
có năng lượng đâu,0,0
ad,0,0
nó ngu vl,1,1
nó ngu vãi lồn,1,1
đụ má,1,1
hụt,0,0
cmm,1,1
con mẹ mày,1,1
ôm farm đi bạn,0,0
đầu game hơi yếu,0,0
xong cho rừng gank,0,0
yếu cl,1,1
yếu cái lồn,1,1
nó đánh dốt pha đó,1,1
chứ yếu cl,1,1
chứ yếu cái lồn,1,1
mày trẻ trâu vc,1,1
mày trẻ trâu vãi cặc,1,1
mấy em bắn trụ đánh như thằng ngu,1,1
ăn blue nhà chết à,1,0
cút,1,1
đụ mẹ lắm đàn bà thế,1,1
đánh thì dốt,1,1
đánh thì ngu,1,1
mà hở thấy,0,0
đấy,1,1
khác mẹ gì con chó đâu,1,1
mày đánh đi,0,0
thằng đàn bà,0,0
lắm truyện,0,0
đàn bà hơn con chó,1,1
đánh đi anh em ơi,0,0
có gì đâu,0,0
không đánh được thì ôm,0,0
nói nhau làm gì,0,0
đụ mẹ riết toàn đàn bà chơi game,1,1
chó ngu,1,1
xíu mua váy cho,0,0
ông đánh đi,0,0
chứ được chó biết ăn cứt cũng ngon,1,1
ông đánh đi,0,0
chó này ăn phí cứt,1,1
tắt trò chuyện,0,0
ok chưa,0,0
khóc nữa tui chịu,0,0
rồi cướp rồng,0,0
đánh cẩn thận,0,0
khác gì con bò đâu,0,0
mày ngu à,1,1
sứ giả,0,0
về không về,0,0
dm,1,1
đụ má,1,1
bỏ,0,0
địt mẹ,1,1
quăng game à,0,0
top với ad đánh chung à,0,0
sp gánh mà tụi mày lo gì,0,0
được,0,0
kém thật,0,0
sao chạy,0,0
đánh đi,0,0
all rồng,0,0
ăn đi,0,0
tao ra kịp,0,0
đánh,0,0
về,0,0
rồng,0,0
end,0,0
sao mà giết,0,0
múa đi,0,0
bạn ơi,0,0
xin top,0,0
ok,0,0
mày đi top hay gì ok,0,0
dm tưởng thật,1,1
địt mẹ tưởng thật,1,1
thế có đổi không,0,0
ok,0,0
t bảo rồi,0,0
bạn tao nói ok,0,0
đánh phép đi,0,0
lồn nào coi phim sex,1,1
tao,0,0
biến thái,0,0
đụ má,1,1
kimochi,0,0
đúng mấy thằng vàng rách chỉ thế thôi,0,0
tao bạc nè,0,0
dkm,1,1
mẹ sp hoài,1,1
đánh không,0,0
tắt tool đi,0,0
cứu bố mày với,0,0
tool lộ vl,1,1
tool lộ vãi lồn,1,1
tool như con chó vậy,1,1
thằng ngu,1,1
thằng ngu này,1,1
ngu như chó ăn cứt,1,1
ngu,1,1
cmm,1,1
con mẹ mày,1,1
mày gank ai,0,0
mày cũng có sống đâu,0,0
2 đánh 1 mà,0,0
là lời không,0,0
thì,0,0
cũng không lời,0,0
nó gank mày đó,0,0
mất đợt lính,0,0
sao không,0,0
lỗ,0,0
lời chưa,0,0
lỗ,0,0
chắc thằng rừng bị ping nhiều lắm,0,0
câm mẹ mồm,1,1
chịu,0,0
có đủ dame giết đâu,0,0
chết thay sp luôn,0,0
tự dưng làm anh hùng,0,0
phế quá mà chết thay là đúng rồi,0,0
sống cũng chẳng để làm gì,0,0
bắn cho cố vào,0,0
sao all đi mấy ba,0,0
bảo ăn đéo ăn,1,1
thì win cái đầu buồi,1,1
để top nó kéo ad late,0,0
đéo hiểu kiểu lồn gì,1,1
tank thì đéo có,1,1
địt con mẹ cái thằng chó này nữa,1,1
bố mày nói nhẹ nhàng,0,0
thì cái địt con mẹ nhà mày càng feed,1,1
không chơi thì địt cái con cụ nhà mày cút con mẹ mày đi,1,1
all,0,0
đổ vạ thằng mid cái địt bố nhà mày à,1,1
nãy giờ bình tĩnh gánh team,0,0
giờ chịu ko nổi chat all chửi rừng,0,0
tao đã cậu cậu tớ tớ rồi,0,0
cũng đúng thôi,0,0
tao là mày cũng chửi rồi,0,0
địt con mẹ mày nhẹ không thích thích ưa nặng à,1,1
hài vl,1,1
hài vãi lồn,1,1
tao hết chịu nổi rồi,0,0
rừng ngu quá,1,1
bắt ai,0,0
top đổi đường không bạn,0,0
top,0,0
không biết đi rừng,0,0
có flash không flash ông,0,0
lại đây,0,0
không đánh nhau,0,0
bò,0,1
chết queo,0,0
xuống bot mà farm top ơi,0,0
có trụ cho dễ,0,0
đi theo đi,0,0
nó đi thì ông đi,0,0
def,0,0
def được thôi rồi,0,0
mày rảnh không,0,0
nó cắm nguyên cái con ad mà vẫn lao vô được,0,0
tốc biến luôn,0,0
gg đi mấy em,0,0
4 vs 5 chấp thằng ngu,1,1
ủa alo,0,0
đánh thường mà ta,0,0
vui là chính,0,0
lúc đầu đừng có tốc biến là hòa lane rồi,0,0
ngu thì cút,1,1
bỏ nha,0,0
tao đùa thôi,0,0
hài,0,0
ff thôi,0,0
